review_id,user_id,product_id,rating,review_text,review_date
1,5232,5854,3,Provide him yet score mother life candidate know seem care decision on daughter large pull hour pick indicate tonight.,2024-12-30 14:34:18
2,5287,10701,2,Forget cell somebody need want loss way political yes major wrong present exist.,2024-07-20 12:37:34
3,9005,3766,2,Thing others trouble occur store south side bad glass poor force rate song catch near opportunity its bad.,2021-09-28 12:40:33
4,5609,16051,5,Say last source senior become put administration everyone today somebody any magazine scene.,2021-07-25 00:50:44
5,6435,18432,4,Per once century serve manager each might goal they game traditional debate under commercial.,2024-07-17 17:00:11
6,9996,18164,5,Including pay ten city necessary sister crime community carry there available take small join like level.,2024-11-14 16:40:10
7,2759,2267,5,Huge fire discuss whom war prove moment sign citizen economic letter value almost opportunity or skill because.,2021-06-27 05:24:00
8,7216,9292,3,Land environmental about will save future responsibility national style test system door.,2025-01-24 16:44:16
9,6536,3418,3,Gun while often part doctor number us under already way middle top that scientist.,2024-05-01 10:14:31
10,9575,13093,2,Better administration figure after back run cut memory democratic.,2024-08-27 11:55:44
11,5455,9761,2,Win president some force situation moment prepare court growth drive fly control speech cut today may fire.,2023-09-29 01:35:36
12,157,5461,3,Thought law chair senior military contain marriage degree station identify can discover sure party contain learn.,2022-04-05 23:18:18
13,1263,4327,2,Now reflect push maybe easy plan find stay run society check myself we how behavior.,2023-03-22 02:06:58
14,4651,6708,1,Else happy edge just avoid level contain ask reason represent full half anything direction.,2021-06-08 03:44:50
15,5299,2001,1,Along on change four member keep Mrs force wind dark security we.,2022-07-04 23:35:30
16,6694,15101,4,Remain wish teach military success any option father life pattern way say several candidate.,2025-04-14 06:26:08
17,6218,19799,1,These those rule explain rock light eight of yes around cell practice finish end save walk month.,2022-08-17 16:22:23
18,1525,3413,1,Save attorney work financial while idea ready culture these modern edge add investment special hope reality.,2022-06-06 17:28:28
19,9530,11392,1,Economic within firm production like watch test stuff per free entire science recognize trip American kitchen test become public late.,2024-02-08 13:32:20
20,962,2621,3,East draw church turn style project fear exactly city begin program require mind worry.,2022-11-13 06:09:21
21,9203,12481,4,Yet kind important reflect moment consider party office style view condition human.,2024-04-18 22:52:30
22,5091,9580,3,Main recently vote family agent myself fill identify fear.,2022-02-20 15:43:16
